STUFFID,bibtex,author,year,ref_title,ref_journal,ref_volume,ref_page,ref_doi,no1,no2,type1,ref1,type2,ref2,notes_stim,data_name,nonling,language,notes_lang,language_glotto,notes_glotto,population,notes_var,accuracy,ambiguity,aoa,arousal,assoc,category,cloze,complex,concrete,confusion,context,dist,dominate,easelearn,familiar,freq,gpc,identify,identifyld,identifyn,imageagree,imagevar,imagine,intense,letters,meaning,modality,morph,nameagree,orthon,phonemes,phonon,pos,prime,pronounce,recall,recognition,rime,rt,semantic,sensory,sentcomp,similar,syllables,syntax,typical,valence,visualcomp,wordcomp
191,Moors2013,"Moors, Houwer, Hermans, Wanmaker, Schie, Can Harmelen, De Schryver, De Winne, & Brysbaert",2012,"Norms of valence, arousal, dominance, and age of acquisition for 4,300 Dutch words",Behavior Research Methods,45,169--177,10.3758/s13428-012-0243-8,4300,,Words,"de Deyne & Storms (2008); Fontaine, Poortinga, Setiadi, & Suprapti (2002); Fontaine, Scherer, Roesch, & Ellsworth (2007)",,"Frijda, Kuipers, & ter Schure (1989); Hermans & De Houwer (1994); Keuleers, Diependaele, & Brysbaert (2010); Osgood, Suci, & Tannenbaum (1957)",,,0,Dutch,,dutc1256,,,,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
193,Munro2008,Munro,2008,CVC syllables for investigating the phonetic sensitivity of Mandarin and English speakers,Behavior Research Methods,40,147--153,10.3758/BRAL40.1.147,720,,Syllables,,,,,,0,Multiple,"English, Mandarin",,"stan1293, mand1415",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
194,Myers2011,"Myers, McCarthy, Duran, & McNamara",2011,The bit in the middle and why it's important: a computational analysis of the linguistic features of body paragraphs,Behavior Research Methods,43,201--209,DOI 10.3758/s13428-010-0021-4,811,,Other,,,,Paragraphs,,0,English,,stan1293,,,"Length, causal connectives/verbs, Flesch-Kincaid, textual diversity, content words, and noun overlap",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
196,Salmon2010,"Salmon, McMullen, & Filliter",2010,"Norms for two types of manipulability (graspability and functional usage), familiarity, and age of acquisition for 320 photographs of objects",Behavior Research Methods,42,82--95,10.3758/BRM.42.1.82,320,,Pictures,,,,Object Pictures,,1,English,,stan1293,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
197,Schock2011,"Schock, Cortese, & Khanna",2012,"Imageability estimates for 3,000 disyllabic words",Behavior Research Methods,44,374_379,10.3758/s13428-011-0162-0,3000,,Words,,,,Disyllabic words,,0,English,,stan1293,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Schock2012,"Schock, Cortese, Khanna, & Toppi",2012,"Age of acquisition estimates for 3,000 disyllabic words",Behavior Research Methods,44,971_977,10.3758/s13428-012-0209-x,3000,,Words,,,,Disyllabic words,,0,English,,stan1293,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Schroder2012,"Schroder, Gemballa, Ruppin, & Wartenburger",2012,"German norms for semantic typicality, age of acquisition, and concept familiarity",Behavior Research Methods,44,380--394,10.3758/s13428-011-0164-y,824,,Words,,,,,,0,German,,stan1295,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
200,Schwitter2004,"Schwitter, Boyer, Meot, Bonin, & Laganaro",2004,French normative data and naming times for action pictures,"Behavior Research Methods, Instruments, & Computers",36,564--576,10.3758/BF03195603,112,,Line drawings,Masterson & Druks (1998),,,,,1,French,,stan1290,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201,Shaoul2006,Shaoul & Westbury,2006,Word frequency effects in high-dimensional co-occurrence models: A new approach,Behavior Research Methods,38,190--195,10.3758/BF03192768,,,Other,Burgess & Lund (1997),Word Pairs,,,HiDEx,1,English,,stan1293,,,Update to HAL calculations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
202,Shaoul2010,Shaoul & Westbury,2010,Exploring lexical co-occurrence space using HiDEx,Behavior Research Methods,42,393--413,10.3758/BRM.42.2.393,,,Other,Burgess & Lund (1997),Word Pairs,,,HiDEx,1,English,,stan1293,,,Update to HAL calculations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
203,Nelson2004,"Nelson, McEvoy, & Schreiber",2004,"The University of South Florida free association, rhyme, and word fragment norms","Behavior Research Methods, Instruments, & Computers",36,402--407,10.3758/BF03195588,72186,,Word Pairs,,,,,University of South Florida Association Norms (USF Free Association),0,English,,stan1293,,,Resonance and set size,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,New2004,"New, Pallier, Brysbaert, & Ferrand",2004,Lexique 2 : A new French lexical database,Behavior Research Methods & Instrumentation,36,516--524,10.3758/BF03195598,129000,,Corpus,Frantext Search Engine,,,,Lexique 2,0,French,,stan1290,,,Gender,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
205,Nishimoto2005,"Nishimoto, Miyawaki, Ueda, Une, & Takahashi",2005,Japanese normative set of 359 pictures,Behavior Research Methods,37,398--416,10.3758/BF03192709,359,,Line drawings,Snodgrass & Vanderwart (1980); Nishimoto & Hayashi (1996),,,,,1,Japanese,,nucl1643,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
206,Nishimoto2010,"Nishimoto, Ueda, Miyawaki, Une, & Takahashi",2010,A normative set of 98 pairs of nonsensical pictures (droodles),Behavior Research Methods,42,685--691,10.3758/BRM.42.3.685,98,,Pictures,Drawn by students,,,Pairs of pictures,,1,Japanese,,nucl1643,,,"Label appropriateness, variability of generated labels, and picture relationship",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
207,Nishimoto2012,"Nishimoto, Ueda, Miyawaki, Une, & Takahashi",2012,The role of imagery-related properties in picture naming: A newly standardized set of 360 pictures for Japanese,Behavior Research Methods,44,934--945,10.3758/s13428-011-0176-7,360,,Line drawings,"Snodgrass & Vanderwart (1980); Nishimoto, Miyawaki, Ueda, Une, & Takahashi (2005)",,,,,1,Japanese,,nucl1643,,,Vividness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
209,Olmos2009,"Olmos, Leon, Jorge-Botana, & Esudero",2009,New algorithms assessing short summaries in expository texts using latent semantic analysis,Behavior Research Methods,41,944--950,10.3758/BRM.41.3.944,1,,Other,"Leon, Olmos, Escudero, Canas, & Salmeron (2006)",,,Expository Text,,0,Spanish,,stan1288,,Middle-grade students,Latent Semantic Analyses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
210,Pare2009,Pare & Cree,2009,Web-based image norming: How do object familiarity and visual complexity ratings compare when collected in-lab versus online?,Behavior Research Methods,41,699--704,10.3758/BRM.41.3.699,593,,Pictures,,,,,,1,English,,stan1293,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
211,Parisse2000,Parisse & Le Normand,2000,Automatic disambiguation of morphosyntax in spoken language corpora,"Behavior Research Methods, Instruments, & Computers",32,468--481,10.3758/BF03200818,,,Other,,,,,Part-Of-Speech Tagger (POST),0,Multiple,"French, English",,"stan1290, stan1293",Children 2 - 4 years,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Peereman1999,Peereman & Content,1999,LEXOP: A lexical database providing orthography-phonology statistics for French monosyllabic words,"Behavior Research Methods, Instruments, & Computers",31,376--379,10.3758/BF03207735,2449,,Words,"BRULEX: Content, Mousty, & Radeau (1990)",,,,LEXOP,0,French,,stan1290,,,Consistency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Peereman2007,"Peereman, Lete, & Sprenger-Charolles",2007,"Manulex-infra: Distributional characteristics of grapheme_phoneme mappings, and infralexical and lexical units in child-directed written material",Behavior Research Methods,39,579--589,10.3758/BF03193029,48886,,Words,,,,,MANULEX,0,French,,stan1290,,1st-5th grade students,Consistency,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Perea2006,"Perea, Urkia, Davis, Agirre, Laseka, & Carreiras",2006,E-Hitz: A word frequency list and a program for deriving psycholinguistic statistics in an agglutinative language (Basque),Behavior Research Methods,38,610--615,10.3758/BF03193893,5000000,,Corpus,,,,,EuskalHitzak (E-Hitz),0,Spanish,Basque,stan1288,basq1248,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
215,Pineiro2000,Pineiro & Manzano,2000,A lexical database for Spanish-speaking children,"Behavior Research Methods, Instruments, & Computers",32,616--628,10.3758/BF03200833,15428,,Words,,,,,,0,Spanish,,stan1288,,Children 1 - 4 years,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
216,Pinheiro2010,"Pinheiro, Soares, Comesana, Niznikiewicz, & Goncalves",2010,Sentence-final word completion norms for European Portuguese children and adolescents,Behavior Research Methods,42,1022--1029,10.3758/BRM.42.4.1022,73,,Cloze/Sentences,,,,,,0,Portuguese,,port1283,,Children and Adolescents,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Plant2011,"Plant, Webster, & Whitworth",2011,Category norm data and relationships with lexical frequency and typicality within verb semantic categories,Behavior Research Methods,43,424--440,10.3758/s13428-010-0051-y,20,,Categories,,Categories,WordNet: Miller & Felbaum (1991),,,0,English,,stan1293,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
218,Price2006,Price & Connolly,2006,BatMon II: Children's category norms for 33 categories,Behavior Research Methods,38,529--531,10.3758/BF03192808,33,,Categories,,,,,,0,English,,stan1293,,Children 3 - 12 years,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Prior2007,"Prior, MacWhinney, & Kroll",2007,"Translation norms for English and Spanish: The role of lexical variables, word class, and L2 proficiency in negotiating translation ambiguity",Behavior Research Methods,39,1029--1038,10.3758/BF03193001,670,760,Words,Kucera & Francis (1967),Words,"P_rez, Alameda, & Cuetos (2003)",,,0,Multiple,"English,  Spanish",,"stan1293,  stan1288",,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Protopapas2009,Protopapas & Vlahou,2009,A comparative quantitative analysis of Greek orthographic transparency,Behavior Research Methods,41,991--1008,10.3758/BRM.41.4.991,374075,,Corpus," HNC: Hatzigeorgiu, Gavrilidou, Piperidis, Carayannis, Papakostopoulou, Spiliotopoulou, Vacalopoulou, Labropoulou, Mantzari, Papageorgiou, & Demiros (2000)",,,,,0,Greek,,gree1276,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Wilson1988,Wilson,1988,"MRC Psycholinguistic Database: Machine-usable dictionary, version 2.00","Behavior Research Methods, Instruments, & Computers",20,6--10,10.3758/BF03202594,150837,,Corpus,,,,,MRC Psycholinguistic Database,0,English,,stan1293,,,"Stress patterns, status ",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
223,Bullinaria2007,Bullinaria & Levy,2007,Extracting semantic representations from word co-occurrence statistics: A computational study,Behavior Research Methods,39,510--526,10.3758/BF03193020,4600000,,Corpus,BNC: Aston & Burnard (1997),,,,,0,British English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
224,Surprenant1999,"Surprenant, Hura, Harper, Jamieson, Long, Thede, Rout, Hsueh, Hockema, Johnson, Srinivasan, White, & Laflen",1999,Familiarity and pronounceability of nouns and names,"Behavior Research Methods, Instruments, & Computers",31,638--649,10.3758/BF03200740,199,199,Names,Purdue University phonebook,Words,Kucera & Francis (1967),Nouns,,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Amsel2012,"Amsel, Urbach, & Kutas",2012,Perceptual and motor attribute ratings for 559 object concepts,Behavior Research Methods,44,1028--1041,10.3758/s13428-012-0215-z,560,47,Words,"McRae, Cree, Seidenberg, & McNorgan (2005)",Words,Vinson & Vigiocco (2008),Nouns,,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
226,Bennett2011,"Bennett, Burnett, Siakaluk, & Pexman",2011,Imageability and body-object interaction ratings for 599 multisyllabic nouns,Behavior Research Methods,43,1100--1109,10.3758/s13428-011-0117-5,599,,Words,,,,Multisyllabic nouns,,0,English,,stan1293,,,Body-Object Interaction ratings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
227,Clark2004,Clark & Paivio,2004,"Extensions of the Paivio, Yuille, and Madigan (1968) norms","Behavior Research Methods, Instruments, & Computers",36,371--383,10.3758/BF03195584,2311,,Words,"Paivio, Yuille, & Madigan (1968)",,,,,0,English,,stan1293,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Cortese2004,Cortese & Fugett,2004,"Imageability ratings for 3,000 monosyllabic words","Behavior Research Methods, Instruments, & Computers",36,384--387,10.3758/BF03195585,3000,,Words,Toglia & Battig (1978),,,Monosyllabic ,,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Gilhooly1978,Gilhooly,1978,Bigram statistics for 205 five-letter words having single-solution anagrams,Behavior Research Methods & Instrumentation,10,389--392,10.3758/BF03205158,205,,Words,,Anagrams,,Five letter words,,0,English,,stan1293,,,Bigram frequency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Mayzner1965b,Mayzner & Tresselt,1965,Tables of single-letter and digram frequency counts for various word-length and letter-position combinations,Psychonomic Monograph Supplements,1,13--32,,20000,,Words,,,,,,0,English,,stan1293,,,"Single letter, bigram frequency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Mayzner1965c,"Mayzner, Tresselt, & Wolin",1965,Tables of trigram frequency counts for various word-length and letter-position combinations,Psychonomic Monograph Supplements,1,33--78,,20000,,Words,,,,,,0,English,,stan1293,,,Trigram frequency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Mayzner1965,"Mayzner, Tresselt, & Wolin",1965,Tables of tetragram frequency counts for various word-length and letter-position combinations,Psychonomic Monograph Supplements,1,79--142,,20000,,Words,,,,,,0,English,,stan1293,,,Tetragram frequency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Mayzner1965a,"Mayzner, Tresselt, & Wolin",1965,Tables of pentagram frequency counts for various word-length and letter-position combinations,Psychonomic Monograph Supplements,1,145--185,,20000,,Words,,,,,,0,English,,stan1293,,,Pentagram frequency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,Solso1979,Solso,1979,"Positional frequency and versatility of letters for six-, seven-, and eight-letter English words",Behavior Research Methods & Instrumentation,11,355--358,10.3758/BF03205676,,,Words,Kucera & Francis (1967),,,"6, 7, 8 letter words",,0,English,,stan1293,,,"Letter position frequency, versatility of letters",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Solso1979a,"Solso, Barbuto, & Juel",1979,Bigram and trigram frequencies and versatilities in the English language,Behavior Research Methods & Instrumentation,11,475--484,10.3758/BF03201360,577,6140,Letters,,Letters,,"Bigrams, Trigrams",,0,English,,stan1293,,,"Bigram, trigram frequency, versatility of letters",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Solso1980,Solso & Juel,1980,Positional frequency and versatility of bigrams for two- through nine-letter English words,Behavior Research Methods & Instrumentation,12,297--343,10.3758/BF03201669,577,,Letters,,,,Bigrams,,0,English,,stan1293,,,"Letter position frequency, versatility of bigrams",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,Solso1976,Solso & King,1976,Frequency and versatility of letters in the English language,Behavior Research Methods & Instrumentation,8,283--286,10.3758/BF03201714,,,Words,Kucera & Francis (1967),,,,,0,English,,stan1293,,,"Letter frequency, versatility of letters/letter combinations",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Stadtlander1997,Stadtlander,1997,A compilation of 800 word neighborhoods by frequency,"Behavior Research Methods, Instruments, & Computers",29,636--644,10.3758/BF03210617,800,,Words,,,,"4, 5 lettter words",,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,Topper1973,"Topper, Macey, & Solso",1973,Bigram versatility and bigram frequency,Behavior Research Methods,5,51--53,10.3758/BF03200121,,,Letters,Thorndike & Lorge (1944); Underwood & Schulz (1960),,,Bigrams,,0,English,,stan1293,,,Versatility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Jones2004,Jones & Mewhort,2004,Case-sensitive letter and bigram frequency counts from large-scale English corpora,"Behavior Research Methods, Instruments, & Computers",36,388--396,10.3758/BF03195586,95,8836,Letters,,Letters,,"Single, bigram letters and characters",,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Novick2004,Novic & Sherman,2004,Type-based bigram frequencies for five-letter words,"Behavior Research Methods, Instruments, & Computers",36,397--401,10.3758/BF03195587,26,376,Letters,,Letters,,"Single, Bigram letters",,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Costantini1966,Costantini & Blackwood,1968,CCC trigrams of low association value: A re-evaluation,Psychonomic Science,12,67--68,,343,,Letters,,,,CCC trigrams,,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Hunt1977,Hunt,1977,Meaningfulness (m&#8242;) values for 300 CCCs,Behavior Research Methods & Instrumentation,9,469--470,10.3758/BF03202289,300,,Letters,,,,CCC trigrams,,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Ley1974,Ley & Karker,1974,Pronunciability ratings of 319 CVCVC words and paralogs previously assessed for meaningfulness and associative reaction time,Bulletin of the Psychonomic Society,3,421--424,,319,,Letters,,,,CVCVC words,,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Ley1970,Ley & Tesiny,1975,"Associative reaction time, meaningfulness, and pronunciability ratings of 382 words and paralogs",Bulletin of the Psychonomic Society,6,645--648,,382,,Letters,,,,CVCVC words,,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
247,Lippman1968,Lippman & Kintz,1968,Group predictions of item differences of CVC trigrams,Psychonomic Science,12,265--266,,20,,Letters,,,,CVC words,,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Noble1967,Noble,1967,Comparative pronounceability ratings (p) of 100 cvcs in two college populations,Psychonomic Science,8,433--434,,100,,Letters,,,,CVC words,,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Nodine1968,Nodine & Hardt,1969,A measure of pronunciability of CVC trigrams,Behavior Research Methods & Instrumentation,1,210--216,10.3758/BF03208098,2100,,Letters,,,,CVC words,,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
250,Scott1969,Scott & Baddeley,1969,Acoustic confusability values for 1172 CCC trigrams,Psychonomic Science,14,189--190,,1172,,Letters,,,,CCC words,,0,English,,stan1293,,,Acoustic confusability,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,Shapiro1964,Shapiro,1964,Meaningfulness values for 52 CVCs for gradeschool-aged children,Psychonomic Science,1,127--128,,52,,Letters,,,,CVC words,,0,English,,stan1293,,Grade school children,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,George1970,George,1970,An information-theory measurement of CVC trigram meaningfulness,Psychonomic Science,21,101--103,,210,20000,Letters,,Words,,CVC words,,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,Laehman1965,Laehman & Laughery,1965,Letter association and sequence norms,Psychonomic Science,2,103--104,,26,,Letters,,,,,,0,English,,stan1293,,,Approximation to English,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Rubin1981,Rubin,1981,"First-order approximation to English, second-order approximation to English, and orthographic neighbor ratio norms for 925 nouns",Behavior Research Methods & Instrumentation,13,13--721,10.3758/BF03207956,925,,Words,,,,Nouns,,0,English,,stan1293,,,Approximation to English with order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
